"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"February 2, 2017","Toys R Us","Wayne","New Jersey","HACK","BSO","0","""The vendor who manages our Rewards“R”Us loyalty program recently advised us of unauthorized attempts to access Rewards“R”Us loyalty member accounts. It appears this was an effort to fraudulently redeem Rewards coupons beginning in November. We expect this activity is related to previously reported online breaches, not affiliated with Toys“R”Us, where thieves stole login names and passwords.  This may be because the thieves know that users tend to have the same password across multiple accounts.What Information Was Involved?Account information may include the loyalty members’ name, email addresses, mailing address and phone number(s). If you have a Geoffrey’s Birthday Club account and it is linked to your Rewards“R”Us account, then information in this account, such as your child’s name and birth date, may have been accessed as well. Please be assured that the Rewards“R”Us profiles and vendor database do not contain credit card numbers, payment or other sensitive personal information, such as Social Security numbers.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66154","California Attorney General","","2017","40.925373","-74.276544"
"February 3, 2017","Renovate America","San Diego","California","HACK","BSO","0","""What Happened? We recently discovered that our company was the targeted victim of an email spoofing attack on January 20, 2017 in which an individual pretended to be our Chief Executive Officer. A request was made from what appeared to be a legitimate Renovate America email address for all 2016 Renovate America employee W-2 information. Unfortunately, copies of all 2016 employee W¬2 forms were provided before  we  discovered  that  the  request  was  made  from  a  fraudulent  account  by  someone  using  an  email address that appeared to belong to our CEO.  We discovered the fraudulent nature of the request within a few hours and have been working tirelessly to investigate and to mitigate the impact of the attack.What Information Was Involved? A file, including a copy of your IRS Tax Form W-2, was sent in response to the fraudulent emails. An IRS Tax Form W-2 includes the following categories of information: (1) the employee’s  name;  (2)  the  employee’s  address;  (3)  the  employee’s  Social  Security  number;  and  (4)  the employee’s  wage  information.  Other  than  information  contained  on  the  IRS  Tax  Form  W-2,  no  personal financial information was emailed to the external email account.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66165","California Attorney General","","2017","32.991459","-117.080199"
"February 3, 2017","Nakawatase & Kaminsky, CPS's, LLP","San Diego","California","HACK","BSF","0","""We are writing to you because of an incident at Nakawatase & Kaminsky. In January 2017, we confirmed through the use of our forensic information technology investigation firm, Navigant, that the Lacerte tax system we utilize for maintaining and filing tax returns was compromised by an intruder on October 31, 2016, November 1, 2016, November 5, 2016 ,and November 8, 2016. The attacker managed to hack into our computer system despite the use of firewalls and anti-virus software. This resulted in four tax returns being fraudulently filed. While to date we only have knowledge of four instances of reported problems, Navigant determined that there is the possibility that the personal and financial information of other clients and their dependents, including names, addresses,dates of birth, Social Security numbers,Tax Identification Numbers, employer and salary information ,as well as bank account numbers, were also compromised. Once we confirmed that a breach had taken place, the San Diego County Sheriff’s Department was immediately notified, which referred the matter to the Federal Bureau of Investigation’s San Diego field office. In addition the Internal Revenue Service Treasury Inspector General has been notified of the incident and the Franchise Tax Board’s fraud unit.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66191","California Attorney General","","2017","32.715738","-117.161084"
"February 6, 2017","Capital One","Tysons Corner","Virginia","HACK","BSF","0","""WHAT HAPPENED As we have discussed with you recently, someone made or attempted to make unauthorized transactions on your Capital One account(s) by logging in with your username and password, which we believe were stolen from one of these websites. This is a follow-up letter to provide you with notice of what happened and ensure all of your questions have been addressed.WHAT INFORMATION WAS INVOLVED We believe that , the fraudster had access to your Capital One account information, which may include your name, address, full or partial account number and transaction history.     While our investigation is ongoing and we may uncover additional facts, we wanted to communicate with you about this issue so you can take steps to protect yourself.  Please be assured that you are protected by our fraud policies and you are not responsible for any fraud on your account(s).""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66214","California Attorney General","","2017","38.918722","-77.231093"
"February 6, 2017","Verity Health System","Redwood City","California","HACK","MED","0","""On January 6, 2017, Verity Health System learned that some of your personal information may have been accessed by an unauthorized third party. Although we are not aware of any misuse of your information, we are notifying you to advise you of the incident out of an abundance of caution.The  information,  dated  between  2010  and  2014,  includes  patient  names,  dates  of  birth,  medical  record  numbers,  addresses,  email  addresses,  phone  numbers,  and  the  last  four  digits  of  credit  card  numbers.  Importantly,  the  information involved in this incident does not include social security numbers or full credit card information.When we detected that an unauthorized third party accessed the Verity Medical Foundation-San Jose Medical Group website that is no longer in use, we promptly initiated an internal investigation. Our investigation determined that the unauthorized third party accessed the website between October 2015 and January 2017. We took immediate steps to secure the website, stop any further unauthorized activity, and prevent similar incidents from happening in the future. We are working with a leading cyber-security firm to assist with the investigation and to further evaluate the integrity of our information systems to ensure protection of our patients’ personal data. We promptly reported the incident to the Department of Health and Human Services, Office of Civil Rights, as required, and to federal law enforcement authorities.""More information: https://oag.ca.gov/ecrime/databreach/list","California Attorney General","","2017","37.521112","-122.254753"
"January 31, 2017","Vertiv Co. Health & Welfare Plan","Columbus","Ohio","DISC","MED","955","                                                                                As
 reported by Health and Human Services unauthorized access/disclosure. No specific information as
 to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...                    ","Government Agency","","2017","40.113386","-82.988829"
"February 13, 2017","PIP Printing Company","Peoria","Illinois","DISC","BSO","0","""An online security breach at a national printing chain leaked thousands of sensitive documents — from labor filings involving NFL players to lawsuits against Hollywood studios to personal immigration-related papers — raising the possibility that private information could end up in the wrong hands.  The leak at PIP printing, which has more than 400 locations in 13 countries, went on for four months before it was repaired Tuesday, cybersecurity experts involved in investigating the breach told NBC News. But there's no evidence that any hackers may have stumbled upon the files to use them for malicious purposes, they add.  The documents, which NBC News examined, ranges from emails revealing credit card and social security numbers to legal filings such as depositions, subpoenas and labor lawsuits. Extensive medical records belonging to high-profile athletes were also at risk.PIP owner Michael Bluestein told NBC News that the breach appeared to stem from a third-party IT firm that accidentally misconfigured the backup protocols — essentially leaving a ""back door"" open in the system.  ""After discovering the breach, we acted quickly to lock down access to our database,"" Bluestein said. ""We immediately strengthened our security controls. We changed all passwords, took offline all computers that may have been affected and brought in forensic IT experts."" More information: http://www.nbcnews.com/news/us-news/data-breach-pip-printing-company-lea...","Media","","2017","40.789161","-89.632060"
"February 9, 2017","Arby's","Atlanta","Georgia","HACK","BSR","335,000","""Sources at nearly a half-dozen banks and credit unions independently reached out over the past 48 hours to inquire if I’d heard anything about a data breach at Arby’s fast-food restaurants. Asked about the rumors, Arby’s told KrebsOnSecurity that it recently remediated a breach involving malicious software installed on payment card systems at hundreds of its restaurant locations nationwide.A spokesperson for Atlanta, Ga.-based Arby’s said the company was first notified by industry partners in mid-January about a breach at some stores, but that it had not gone public about the incident at the request of the FBI.“Arby’s Restaurant Group, Inc. (ARG) was recently provided with information that prompted it to launch an investigation of its payment card systems,” the company said in a written statement provided to KrebsOnSecurity.""More information: https://krebsonsecurity.com/2017/02/fast-food-chain-arbys-acknowledges-b...http://www.esecurityplanet.com/network-security/arbys-hacked.html","Media","","2017","33.748995","-84.387982"
"February 3, 2017","InterContinental Hotels Group (IHG)","","Buckinghamshire","HACK","BSO","0","""IHG values the relationship we have with our guests and understands the importance of protecting payment card data. On Dec. 28, 2016, IHG reported it was conducting an investigation after receiving a report of unauthorized charges occurring on some payment cards that were used at a small number of U.S. hotel properties. IHG hired leading cyber security firms to examine the payment card processing systems for the hotels that it manages in the Americas region. Based on the investigation, IHG is providing notification to guests who used their payment card at restaurants and bars of 12 company managed properties during the time periods from August 2016 – December 2016 identified below. An investigation of other properties in the Americas region is ongoing.Findings show that malware was installed on servers that processed payment cards used at restaurants and bars of 12 IHG managed properties. Cards used at the front desk of these properties were not affected. The malware searched for track data (cardholder name, card number, expiration date, and internal verification code) read from the magnetic stripe of a payment card as it was being routed through the affected server.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66180","California Attorney General","https://oag.ca.gov/ecrime/databreach/list","2017","51.813707","-0.809471"
"February 15, 2017","Platt College","Alhambra","California","DISC","EDU","0","What Happened?A technical error caused Student's 1098T Tuition Statements to be addressed with another student's mailing address, and the Statements were inadvertently mailed to another student on January 113, 2017.What Information Was Involved?1098T Tuition Statements contain your first and last name, last four digits of your social security number, total amount billed for qualified tuition and related expenses for 2016 and any scholarships or grant totals for 2016.""","California Attorney General","","2017","34.081478","-118.149994"
"February 8, 2017","The Boeing Corporation","Seattle","Washington","DISC","BSO","0","""Boeing recently discovered that a company employee sent an email containing personal information of other employees to his non-Boeing spouse on Nov. 21, 2016. During Boeing's investigation, the employee stated that he sent a spreadsheet with the personal information to his spouse for help with a formatting issue.  He did not realize the spreadsheet included sensitive personal information because that information was contained in hidden columns.  We have taken steps to ensure that any copies of the spreadsheet have been destroyed, including a forensic examination of both the Boeing employee's computer and the spouse's computer to confirm to us that they have not distributed or used any of the information.""What Information Was InvolvedThe spreadsheet contained each employee's first and last name, place of birth, BEMSID, and accounting department code in visible columns, and social security  number and date of birth in hidden columns.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66255","California Attorney General","","2017","47.606210","-122.332071"
"February 9, 2017","California Correctional Health Care Services","Stockton","California","DISC","GOV","0","""What Happened On January26, 2017, California Correctional Health Care Services (CCHCS) was informed that on January 23, 2017,a CCHCS staff member inadvertently sent an email containing your personal information to a staff member at another California State department.What Information Was InvolvedThe personal information contained in the email included your name, CDCR number, CDCR housing information, mental health related information, and health care provider names.More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66267","California Attorney General","","2017","37.957702","-121.290780"
"February 13, 2017","NEO Tech","Chatsworth","California","HACK","BSO","0","""On Friday, January 27, 2017, NEO Tech was the victim of an email “phishing” incident that resulted in the release of employee W-2 wage and tax data to an unauthorized email recipient outside the company.  This was an isolated incident that did not involve an intrusion into our computer systems or network.  What information was involvedThe following NEO Tech employee information:  a copy of your 2016 Form W-2, which includes your name, address, 2016 income information and Social Security Number.More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66307","California Attorney General","","2017","34.240234","-118.601831"
"February 14, 2017","The Honest Kitchen","San Diego","California","HACK","BSO","0","""What Happened?We recently discovered that The Honest Kitchen experienced an unauthorized network intrusion. As a result of this intrusion, some customers’ information was exposed. Based on our investigation to date, we believe unauthorized access was gained to our network on November 30, 2016. The protection of our customers’ personal information is incredibly important to us. Upon discovering this attack, we took immediate action to protect customer information. What Information Was Involved?Based on our initial investigation, we know that name, email, address and payment card information (including card number, CID, and expiration date) were exposed.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66352","California Attorney General","","2017","32.706554","-117.151682"
"February 15, 2017","Operating Engineers Local Union No. 3","Alameda","California","HACK","BSO","0","""On or about February 9, 2017, OE3 learned that the security of user data stored on our website, www.oe3.org, had been breached.  OE3 is not currently aware of the reason for the breach, but does not have any reason to believe that is was caused by intentional interference or a deliberate effort by any unauthorized person to misappropriate the data.  OE3 immediately tested the website for malware and viruses, and found no traces of any. WHAT ARE DOING?After OE3 became aware of the breach, we promptly notified the website host, which shut down the website.  We also contacted the web developer, who immediately corrected the issue on the website that caused the breach, and secured the data once again.  Although the public portion of OE3's website is back up, we are suspending the members-only portion pending our investigation to determine the cause of the breach.  We are also exploring additional security measures to assist us in preventing any future security breach.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66363 ","California Attorney General","","2017","33.186520","-87.510699"
"February 2, 2017","Jeffrey D. Rice","Zanesville","Ohio","PORT","MED","1,586","                                                                                        As
 reported by Health and Human Services paper/films. No specific information as
 to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...                      ","California Attorney General","","2017","39.940345","-82.013192"
"February 17, 2017","Deboer Income Tax","Big Bear Lake","California","HACK","BSF","7","""We are notifying you that our data system may have been breached.  We have  observed an increased rate of e-file tax returns being rejected by the IRS due to the client's social security number having been already submitted in another tax return.   Normally we may have one or two of our clients experience this identify theft problem during a tax season and this year we have already experienced seven of these rejections.  We take the privacy of our clients very serious and after observing this we have been working closely with the IRS and partners and have taken the following steps:  *  Our data security team, Computer Reality, has investigated the breach and uncovered a series of attacks trying to gain access to our systems.  The investigation produced a series of IP addresses that had been attacking our system, but the investigation could not ascertain weather they gained successful access and/or what records were exposed.    *  As a security measure all of our computer systems has been reconfigured from the bottom up with a new IP address and new ID's and Passwords.  *  Shared Investigation findings with IRS partner.  For clients that are effected by an identity theft issue.  We are working with the IRS and are will be submitting mail in tax returns with an attached affidavit confirming your identify.   The effect will be that for those effected there refund will be delayed as the IRS is going through extra scrutiny to protect your identy and ensure you get your proper refund.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66415https://oag.ca.go...","California Attorney General","","2017","34.243896","-116.911422"
"February 20, 2017","Intex Recreation Corp.","Long Beach","California","HACK","BSO","0","""Intex Recreation Corp (""Intex"") is writing to inform you of a data security event that may affect the security of your personal information and to prive you with information on how to better protect against the possible misuse of your information.What Happened? On November 16, 2016, Intex learned of the potential compromise of certain personal information of our customers.  We immediately launched an investigation to determine the nature and scope of this event and began working with third-party forensic investigators to assist with these efforts.  Our forensic investigation indicates that unauthorized and malicious code may have been inserted into the company's website and that the incident occurred between approximately April 24, 2016, and December 14, 2016.What Information Was Involved? The information involved may have included your name, address, telephone, e-mail address, and credit card information.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66423 ","California Attorney General","","2017","33.832431","-118.213244"
"February 22, 2017","JoFit","Warminster","Pennsylvania","HACK","BSO","0","""We’re writing to inform you about a data security incident that may have exposed some of your personal information. For this reason, we are contacting you directly to explain the circumstances of the incident and the outcome of our investigation. What happened? In mid-January, JoFit first learned that its website may have been the target of a cybersecurity attack aimed at acquiring customer credit card information. On the same day that we received this information, JoFit began work to investigate and take any necessary corrective steps. In that process, we confirmed that there was a vulnerability in the website that could have resulting in exposure of personal information. Within days of first learning of the incident, we notified law enforcement of this incident, and we hired an independent computer forensics consultant that specializes in cybersecurity. The consultant is investigating precisely what happened, what information may have been compromised, and what additional steps are needed. What information was involved? The information that may have been compromised included first name, last name, and credit card payment information. What we are doing. JoFit is continuing its investigation of the situation. In the meantime, while our investigation is ongoing, we have engaged Epiq Corporate Services, Inc. (“EPIQ”) to provide identity monitoring at no cost to you for one year. Please review the enclosed “EPIQ Family Secure” section included with this letter for information on how to activate your complimentary identity monitoring services.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66446","California Attorney General","","2017","40.213150","-75.083485"
"February 23, 2017","Catalina Post-Acute and Rehabilitation","Tucson","Arizona","PHYS","MED","2,953","""Catalina Post-Acute and Rehabilitation recently became aware of an incident where paper files containing resident and employee information were left in an unattended area. The patient data files, along with certain employee information, were left temporarily vulnerable to possible unauthorized public access.The healthcare organization reported on its website that it found evidence on December 5, 2016 that documents containing the sensitive information of patients and employees had been left “unattended in an area where there is the potential for public access.” The unattended documents included demographic information. Diagnoses and Social Security numbers were included in some cases as well, Catalina stated.The OCR data breach reporting tool states that 2,953 individuals were potentially affected by this incident.Catalina said it launched an investigation into the incident and reviewed protocols in place relating to PHI storage and employee information to prevent further security issues.The healthcare organization’s internal investigation found that it appears no patient or employee information was accessed or misused by any unauthorized individuals.""More information: http://healthitsecurity.com/news/rehabilitation-facility-reports-patient...","California Attorney General","","2017","32.254796","-110.947577"
"February 23, 2017","Dignity Health St. Joseph's Hospital and Medical Center","Phoenix","Arizona","INSD","MED","600","""A recent data breach incident at Dignity Health St. Joseph’s Hospital and Medical Center has potentially put over 600 patient medical records at risk, according to a press release issued February 15 of this year.According to a routine review of employee access to the hospital’s electronic health records, St. Joseph’s found that from October 1 through November 22, 2016 a part time hospital employee viewed sections of patient medical records without authorization or appropriate reason.St. Joseph’s has since notified potentially impacted patients of the security breach through advisory letters.Potentially accessed information included patient medical records, demographic information (e.g. names and dates of birth), and clinical data, such as doctor’s orders and diagnostic information.St. Joseph’s asserts that because Social Security numbers, billing, and credit card information were not accessed during the breach, there is “no reason to believe these patients need to take any action to protect themselves against identity theft.”“Dignity Health St. Joseph’s Hospital and Medical Center is deeply committed to protecting its patients,” the statement explained. “Any person who accesses medical records without a job-related reason is in violation of St. Joseph’s policy and appropriate action has been taken in response to this event.”More information: http://healthitsecurity.com/news/rehabilitation-facility-reports-patient...","Media","","2017","33.481882","-112.079310"
"February 17, 2017","Group Health Incorporated","New York","New York","DISC","MED","703","As reported by Health and Human Services unauthorized theft/desktop computer. No specific information as to what information was   compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9","Government Agency","","2017","40.703323","-74.008896"
"February 23, 2017","Logic Supply","South Burlington ","Vermont","HACK","BSO","0","""Monday, February 6th, we discovered unauthorized access to our website, which made some customer information vulnerable. Once we discovered the breach, we blocked their access, deployed a security patch and took other security measures. We believe the vulnerability and access was for roughly 30 minutes. There were no breaches of any of our other internal applications, resources or ERP system.What information was involved?In stark contrast to well publicized retail breaches, no credit card or other financial information was involved in the attack. (We do not keep credit card numbers on file on our site.) Additionally, because the breach was limited to our website, the breach did not involve any customer software imaged onto our PCs or other proprietary product information.However the attacker may have accessed, among other things:●    The Username (your email) & internally created Password for your account●    Customer (Company) names●    Order information.""","California Attorney General","","2017","44.439629","-73.149878"
"February 24, 2017","Rod's True Western Living","Columbus","Ohio","HACK","BSO","0","""After identifying suspicious activity within our e-commerce site on February 8, 2017, we immediately initiated an internal investigation and engaged external IT consultants to assist us.  By February 10th, we identified the malicious code, permanently removed it from our site, and took additional steps to prevent a similar intrusion.We have learned that certain customer credit and debit card information may have been obtained by an unauthorized party from our payment portal when purchasing through our online store at www.rods.com, from October 11, 2016 through February 10, 2017.  We do not store card data on our website; this data was taken during the transaction.  Purchases through our physical retail location and call center were not impacted by this incident.What Information Was Involved?Based on our investigation, the information potentially involved in this incident may have included your name, credit or debit card number, card expiration date and CVV2/CVC2/CID/CVD (security code on the front or back of the card).  Debit PIN numbers were not obtained during this incident."" More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66493","California Attorney General","","2017","40.028068","-82.995225"
